date,airport_code,airline,origin_city,flight_number,scheduled_time,actual_time,delta_minutes,status
2026-08-12,BOM,IndiGo,Vasco da Gama,6E 5158,14:30,14:25,-5,Arrived
2026-08-12,BOM,IndiGo,Patna,6E 2025,15:15,14:32,-43,Arrived
2026-08-12,BOM,IndiGo,Bangalore,6E 5218,14:50,14:35,-15,Arrived
2026-08-12,BOM,Air India,Kochi,AI 2856,15:05,14:37,-28,Arrived
2026-08-12,BOM,Starlight Airline,New Delhi,QP 1836,14:30,14:40,10,Arrived
2026-08-12,BOM,Air India,Ad Dammam,AI 4250,14:35,14:43,8,Arrived
2026-08-12,BOM,Air India,Jodhpur,AI 646,15:10,14:47,-23,Arrived
2026-08-12,BOM,Air India Express,Bhopal,IX 1786,15:25,14:54,-31,Arrived
2026-08-12,BOM,Shuttle America,Mundra,S5 706,15:20,14:56,-24,Arrived
2026-08-12,BOM,IndiGo,Ad Dammam,6E 82,16:25,14:58,-87,Arrived
2026-08-12,BOM,Air India,Bhopal,AI 634,15:25,15:03,-22,Arrived
2026-08-12,BOM,Air India,Vasco da Gama,AI 2842,15:00,15:05,5,Arrived
2026-08-12,BOM,IndiGo,Phuket,6E 1072,15:25,15:06,-19,Arrived
2026-08-12,BOM,IndiGo,New Delhi,6E 324,15:10,15:09,-1,Arrived
2026-08-12,BOM,IndiGo,Rajkot,6E 2283,15:05,15:11,6,Arrived
2026-08-12,BOM,IndiGo,Dubai,6E 1452,15:30,15:12,-18,Arrived
2026-08-12,BOM,IndiGo,Nairobi,6E 1854,15:30,15:14,-16,Arrived
2026-08-12,BOM,SpiceJet,New Delhi,SG 815,11:25,15:15,230,Arrived
2026-08-12,BOM,Air India,Jaipur,AI 2782,15:40,15:17,-23,Arrived
2026-08-12,BOM,Air India Express,Vasco da Gama,IX 1214,15:40,15:18,-22,Arrived
2026-08-12,BOM,Air India,Amritsar,AI 2998,16:05,15:18,-47,Arrived
2026-08-12,BOM,IndiGo,Hyderabad,6E 5099,15:55,15:19,-36,Arrived
2026-08-12,BOM,IndiGo,Darbhanga,6E 536,16:15,15:24,-51,Arrived
2026-08-12,BOM,IndiGo,Jodhpur,6E 6259,16:15,15:32,-43,Arrived
2026-08-12,BOM,Air India Express,Mangalore,IX 1671,16:10,15:35,-35,Arrived
2026-08-12,BOM,Yemenia,Aden,IY 854,15:30,15:37,7,Arrived
2026-08-12,BOM,IndiGo,Bangalore,6E 5351,16:05,15:39,-26,Arrived
2026-08-12,BOM,Starlight Airline,New Delhi,QP 1807,15:55,15:42,-13,Arrived
2026-08-12,BOM,IndiGo,Ranchi,6E 6088,16:10,15:46,-24,Arrived
2026-08-12,BOM,SpiceJet,Darbhanga,SG 116,13:35,15:58,143,Arrived
2026-08-12,BOM,IndiGo,Allahabad,6E 6938,16:20,16:16,-4,Arrived
2026-08-12,BOM,Air India,Udaipur,AI 2594,16:20,16:20,0,Arrived
2026-08-12,BOM,Starlight Airline,Gautam Buddha Nagar,QP 1940,16:20,16:20,0,Arrived
2026-08-12,BOM,IndiGo,New Delhi,6E 6022,16:25,16:25,0,Arrived
2026-08-12,BOM,Air India,Vasco da Gama,AI 2478,16:30,16:30,0,Arrived
2026-08-12,BOM,Starlight Airline,Mopa,QP 1106,16:40,16:40,0,Arrived
2026-08-12,BOM,Air India,Lucknow,AI 2492,16:40,16:40,0,Arrived
2026-08-12,BOM,IndiGo,Chennai,6E 5371,16:40,16:40,0,Arrived
2026-08-12,BOM,Air India,Port Louis,AI 2242,17:20,16:45,-35,Arrived
2026-08-12,BOM,Air India,Patna,AI 2790,16:50,16:50,0,Arrived
2026-08-12,BOM,IndiGo,Jammu,6E 5155,17:15,16:51,-24,Arrived
